IndustryType_MLA_B1_IncomeStatement,OrgType_MLA_B1_IncomeStatement,CurrentRating_MLA_B1_IncomeStatement,ReportingYear_MLA_B1_IncomeStatement,ReportingRegion_MLA_B1_IncomeStatement,ReportingLocalRegion_MLA_B1_IncomeStatement,ProfitNonFinancial_Income,ProfitsOnDealing_Income,Total_Income,OtherExpenses_Expenditure,Total_Expenditure,OperatingProfit_MLA_B1_IncomeStatement,Taxation_MLA_B1_IncomeStatement,MinorityInterests_MLA_B1_IncomeStatement,Profit_MLA_B1_IncomeStatement,Dividends_MLA_B1_IncomeStatement,RetainedProfit_MLA_B1_IncomeStatement
SOF,INC,A1,2017,USA,DE,4045889.05,8091778.1,12137667.15,11142725.49,11142725.49,994941.66,198988.33,121376.67,917330,45866.5,871463.5
SOF,INC,A1,2017,USA,DE,1174283.56,2348567.13,3522850.69,3200836.32,3200836.32,322014.37,64402.87,35228.51,292840,14642,278198
SOF,INC,A1,2017,USA,DE,2285900.21,4571800.41,6857700.62,6129265.63,6129265.63,728434.99,145687,68577.01,651325,32566.25,618758.75
FIN,INC,C,2017,USA,DE,819941.92,1639883.83,2459825.75,2178942.32,2178942.32,280883.43,56176.69,24598.26,249305,12465.25,236839.75
FIN,INC,C,2017,USA,DE,1662800.97,3325601.94,4988402.91,3980465.45,3980465.45,1007937.46,201587.49,49884.03,856234,42811.7,813422.3
FIN,INC,C,2017,USA,DE,1964575.06,3929150.13,5893725.19,4951594.25,4951594.25,942130.94,188426.19,58937.25,812642,40632.1,772009.9
FIN,INC,C,2017,USA,DE,1645083.23,3290166.46,4935249.69,3969201.56,3969201.56,966048.13,193209.63,49352.5,822191,41109.55,781081.45
SOF,INC,C,2017,USA,DE,993672.54,1987345.07,2981017.61,2174579.08,2174579.08,806438.53,161287.71,29810.18,674961,33748.05,641212.95
FIN,INC,A1,2017,USA,DE,1440286.86,2880573.73,4320860.59,4119568.85,4119568.85,201291.74,40258.35,43208.61,204242,10212.1,194029.9
FIN,INC,C,2017,USA,DE,773060.59,1546121.19,2319181.78,1281752.8,1281752.8,1037428.98,207485.8,23191.82,853135,42656.75,810478.25
FIN,INC,C,2017,USA,DE,1127470.78,2254941.57,3382412.35,2570831.26,2570831.26,811581.1,162316.22,33824.12,683089,34154.45,648934.55
FIN,INC,C,2017,USA,DE,1404101.21,2808202.41,4212303.62,3780851.16,3780851.16,431452.45,86290.49,42123.04,387285,19364.25,367920.75
SOF,INC,Ba1,2017,USA,DE,482638.67,965277.33,1447916,1056269.95,1056269.95,391646.05,78329.21,14479.16,327796,16389.8,311406.2
IND,INC,A1,2017,USA,DE,329313,658625.99,987938.99,399470.73,399470.73,588468.26,117693.65,9879.39,480654,24032.7,456621.3
IND,INC,A1,2017,USA,DE,2216283.55,4432567.11,6648850.66,6131752.54,6131752.54,517098.12,103419.62,66488.51,480167,24008.35,456158.65
FIN,INC,A1,2017,USA,DE,2681746.87,5363493.73,8045240.6,7245432.36,7245432.36,799808.24,159961.65,80452.41,720299,36014.95,684284.05
FIN,INC,A1,2017,USA,DE,1771060.1,3542120.2,5313180.29,4417075.05,4417075.05,896105.25,179221.05,53131.8,770016,38500.8,731515.2
SOF,INC,A1,2017,USA,DE,418124.2,836248.41,1254372.61,52417.27,52417.27,1201955.34,240391.07,12543.73,974108,48705.4,925402.6
SOF,INC,A1,2017,USA,DE,2167324.28,4334648.56,6501972.84,5740248.76,5740248.76,761724.09,152344.82,65019.73,674399,33719.95,640679.05
SOF,INC,A1,2017,USA,DE,1653134.79,3306269.59,4959404.38,4450545.69,4450545.69,508858.7,101771.74,49594.04,456681,22834.05,433846.95
SOF,INC,C,2017,USA,DE,2119984.66,4239969.33,6359953.99,5780549.66,5780549.66,579404.33,115880.87,63599.54,527123,26356.15,500766.85
SOF,INC,C,2017,USA,DE,2346148.67,4692297.35,7038446.02,6335471.6,6335471.6,702974.42,140594.88,70384.46,632764,31638.2,601125.8
IND,INC,C,2017,USA,DE,1245752.91,2491505.83,3737258.74,2822611.97,2822611.97,914646.77,182929.35,37372.59,769090,38454.5,730635.5
IND,INC,Ba1,2017,USA,DE,1903437.98,3806875.96,5710313.94,4970772.87,4970772.87,739541.08,147908.22,57103.14,648736,32436.8,616299.2
IND,INC,Ba1,2017,USA,DE,4140375.31,8280750.61,12421125.92,12188642.49,12188642.49,232483.43,46496.69,124211.26,310198,15509.9,294688.1
FIN,INC,Ba1,2017,USA,DE,720103.26,1440206.53,2160309.79,1501164.91,1501164.91,659144.88,131828.98,21603.1,548919,27445.95,521473.05
SOF,INC,C,2017,USA,DE,975581.99,1951163.99,2926745.98,2747072.8,2747072.8,179673.18,35934.64,29267.46,173006,8650.3,164355.7
SOF,INC,C,2017,USA,DE,520588.34,1041176.68,1561765.01,370197.08,370197.08,1191567.94,238313.59,15617.65,968872,48443.6,920428.4
SOF,INC,C,2017,USA,DE,2131012.31,4262024.61,6393036.92,6086314.88,6086314.88,306722.04,61344.41,63930.37,309308,15465.4,293842.6
SOF,INC,C,2017,USA,DE,822618.73,1645237.46,2467856.19,2113515.64,2113515.64,354340.55,70868.11,24678.56,308151,15407.55,292743.45
FIN,INC,A1,2017,USA,DE,1291560.06,2583120.12,3874680.18,3124091.18,3124091.18,750589,150117.8,38746.8,639218,31960.9,607257.1
FIN,INC,A1,2017,USA,DE,2030749.12,4061498.24,6092247.36,5847201.7,5847201.7,245045.66,49009.13,60922.47,256959,12847.95,244111.05
FIN,INC,A1,2017,USA,DE,832354.17,1664708.35,2497062.52,2016387.05,2016387.05,480675.47,96135.09,24970.63,409511,20475.55,389035.45
FIN,INC,A1,2017,USA,DE,1755908.13,3511816.25,5267724.38,4579612.19,4579612.19,688112.2,137622.44,52677.24,603167,30158.35,573008.65
FIN,INC,C,2017,USA,DE,3216888.92,6433777.85,9650666.77,8534378.85,8534378.85,1116287.92,223257.58,96506.67,989537,49476.85,940060.15
SOF,INC,Ba1,2017,USA,DE,2372110.03,4744220.05,7116330.08,6411061.7,6411061.7,705268.37,141053.67,71163.3,635378,31768.9,603609.1
SOF,INC,Ba1,2017,USA,DE,1479229.64,2958459.29,4437688.93,3470768.79,3470768.79,966920.14,193384.03,44376.89,817913,40895.65,777017.35
SOF,INC,Ba1,2017,USA,DE,3688279.44,7376558.89,11064838.33,10378883.81,10378883.81,685954.52,137190.9,110648.38,659412,32970.6,626441.4
SOF,INC,Ba1,2017,USA,DE,946316.89,1892633.79,2838950.68,2380337.57,2380337.57,458613.12,91722.62,28389.51,395280,19764,375516
IND,INC,C,2017,USA,DE,1323292.81,2646585.61,3969878.42,3383936.9,3383936.9,585941.52,117188.3,39698.78,508452,25422.6,483029.4
IND,INC,A1,2017,USA,DE,1715829.69,3431659.39,5147489.08,4260041.44,4260041.44,887447.64,177489.53,51474.89,761433,38071.65,723361.35
IND,INC,A1,2017,USA,DE,2372407.09,4744814.17,7117221.26,6206399.02,6206399.02,910822.23,182164.45,71172.21,799830,39991.5,759838.5
FIN,INC,Ba1,2017,USA,DE,724378.85,1448757.69,2173136.54,1013908.24,1013908.24,1159228.29,231845.66,21731.37,949114,47455.7,901658.3
FIN,INC,Ba1,2017,USA,DE,880990.71,1761981.41,2642972.12,1940595.52,1940595.52,702376.6,140475.32,26429.72,588331,29416.55,558914.45
IND,INC,Ba1,2017,USA,DE,1253094.29,2506188.57,3759282.86,3675410.15,3675410.15,83872.71,16774.54,37592.83,104691,5234.55,99456.45
IND,INC,A1,2017,USA,DE,1981821.14,3963642.28,5945463.42,4775114.21,4775114.21,1170349.21,234069.84,59454.63,995734,49786.7,945947.3
IND,INC,A1,2017,USA,DE,766116.56,1532233.12,2298349.68,1804991.55,1804991.55,493358.13,98671.63,22983.5,417670,20883.5,396786.5
IND,INC,A1,2017,USA,DE,2501098.88,5002197.76,7503296.63,6494565.34,6494565.34,1008731.29,201746.26,75032.97,882018,44100.9,837917.1
FIN,INC,Ba1,2017,USA,DE,1327349.62,2654699.24,3982048.86,3904866.97,3904866.97,77181.89,15436.38,39820.49,101566,5078.3,96487.7
FIN,INC,Ba1,2017,USA,DE,3072970.88,6145941.75,9218912.63,8086799.04,8086799.04,1132113.59,226422.72,92189.13,997880,49894,947986
FIN,INC,Ba1,2017,USA,DE,3612942.81,7225885.61,10838828.42,10001620.03,10001620.03,837208.39,167441.68,108388.28,778155,38907.75,739247.25
IND,INC,C,2017,USA,DE,878802.69,1757605.39,2636408.08,2521354.43,2521354.43,115053.65,23010.73,26364.08,118407,5920.35,112486.65
IND,INC,C,2017,USA,DE,1448014.16,2896028.33,4344042.49,3811254.27,3811254.27,532788.22,106557.64,43440.42,469671,23483.55,446187.45
FIN,INC,A1,2017,USA,DE,352947.37,705894.74,1058842.11,406407.64,406407.64,652434.47,130486.89,10588.42,532536,26626.8,505909.2
FIN,INC,A1,2017,USA,DE,811475.89,1622951.79,2434427.68,2299836.77,2299836.77,134590.9,26918.18,24344.28,132017,6600.85,125416.15
FIN,INC,A1,2017,USA,DE,688833.3,1377666.59,2066499.89,1540056.14,1540056.14,526443.75,105288.75,20665,441820,22091,419729
SOF,INC,Ba1,2017,USA,DE,2654064.38,5308128.76,7962193.14,7256478.06,7256478.06,705715.09,141143.02,79621.93,644194,32209.7,611984.3
SOF,INC,Ba1,2017,USA,DE,2809327.74,5618655.48,8427983.21,7993411.75,7993411.75,434571.46,86914.29,84279.83,431937,21596.85,410340.15
SOF,INC,A1,2017,USA,DE,2426763.05,4853526.1,7280289.14,6903080.26,6903080.26,377208.89,75441.78,72802.89,374570,18728.5,355841.5
SOF,INC,A1,2017,USA,DE,1843490.5,3686981.01,5530471.51,5156089.9,5156089.9,374381.61,74876.32,55304.72,354810,17740.5,337069.5
SOF,INC,A1,2017,USA,DE,1818945.81,3637891.63,5456837.44,4934975.41,4934975.41,521862.03,104372.41,54568.37,472058,23602.9,448455.1
SOF,INC,A1,2017,USA,DE,677059.47,1354118.94,2031178.41,1019116.89,1019116.89,1012061.52,202412.3,20311.78,829961,41498.05,788462.95
SOF,INC,C,2017,USA,DE,335837.63,671675.25,1007512.88,167716.79,167716.79,839796.09,167959.22,10075.13,681912,34095.6,647816.4
FIN,INC,C,2017,USA,DE,2520989.5,5041979.01,7562968.51,6780638.12,6780638.12,782330.39,156466.08,75629.69,701494,35074.7,666419.3
SOF,INC,Ba1,2017,USA,DE,1342412.75,2684825.49,4027238.24,2958318.72,2958318.72,1068919.52,213783.9,40272.38,895408,44770.4,850637.6
IND,INC,A1,2017,USA,DE,1247510.24,2495020.47,3742530.71,3156344.85,3156344.85,586185.87,117237.17,37425.31,506374,25318.7,481055.3
FIN,INC,A1,2017,USA,DE,2587345.37,5174690.73,7762036.1,7248577.8,7248577.8,513458.3,102691.66,77620.36,488387,24419.35,463967.65
FIN,INC,Ba1,2017,USA,DE,2682945.26,5365890.53,8048835.79,6953387.49,6953387.49,1095448.3,219089.66,80488.36,956847,47842.35,909004.65
FIN,INC,Ba1,2017,USA,DE,2152434.59,4304869.17,6457303.76,5418243.81,5418243.81,1039059.95,207811.99,64573.04,895821,44791.05,851029.95
IND,INC,C,2017,USA,DE,754767.39,1509534.77,2264302.16,1451612.19,1451612.19,812689.97,162537.99,22643.02,672795,33639.75,639155.25
IND,INC,Ba1,2017,USA,DE,2664881.9,5329763.81,7994645.71,7627528.78,7627528.78,367116.93,73423.39,79946.46,373640,18682,354958
IND,INC,Ba1,2017,USA,DE,3119365.82,6238731.63,9358097.45,9143351.17,9143351.17,214746.28,42949.26,93580.97,265378,13268.9,252109.1
SOF,INC,C,2017,USA,DE,2107860.9,4215721.79,6323582.69,5360486.22,5360486.22,963096.47,192619.29,63235.83,833713,41685.65,792027.35
SOF,INC,C,2017,USA,DE,3317415.18,6634830.35,9952245.53,9884369.84,9884369.84,67875.68,13575.14,99522.46,153823,7691.15,146131.85
SOF,INC,C,2017,USA,DE,1189932.84,2379865.67,3569798.51,2479197.24,2479197.24,1090601.27,218120.25,35697.99,908179,45408.95,862770.05
FIN,INC,C,2017,USA,DE,1398818.93,2797637.86,4196456.79,4111121.25,4111121.25,85335.54,17067.11,41964.57,110233,5511.65,104721.35
FIN,INC,C,2017,USA,DE,1406359.09,2812718.17,4219077.26,3951964.48,3951964.48,267112.78,53422.56,42190.77,255881,12794.05,243086.95
SOF,INC,A1,2017,USA,DE,1713225.74,3426451.47,5139677.21,4923094.43,4923094.43,216582.78,43316.56,51396.77,224663,11233.15,213429.85
FIN,INC,A1,2017,USA,DE,1582743.44,3165486.89,4748230.33,3872853.21,3872853.21,875377.12,175075.42,47482.3,747784,37389.2,710394.8
FIN,INC,A1,2017,USA,DE,1780619.25,3561238.5,5341857.74,5030792.21,5030792.21,311065.53,62213.11,53418.58,302271,15113.55,287157.45
SOF,INC,Ba1,2017,USA,DE,2977954.73,5955909.47,8933864.2,8795251.26,8795251.26,138612.95,27722.59,89338.64,200229,10011.45,190217.55
SOF,INC,Ba1,2017,USA,DE,2015625.59,4031251.18,6046876.76,5773576.47,5773576.47,273300.29,54660.06,60468.77,279109,13955.45,265153.55
SOF,INC,Ba1,2017,USA,DE,2607988.71,5215977.42,7823966.13,7383930.71,7383930.71,440035.42,88007.08,78239.66,430268,21513.4,408754.6
SOF,INC,Ba1,2017,USA,DE,2254586.33,4509172.67,6763759,6561585.99,6561585.99,202173.01,40434.6,67637.59,229376,11468.8,217907.2
SOF,INC,Ba1,2017,USA,DE,2728729.72,5457459.45,8186189.17,7161486.54,7161486.54,1024702.64,204940.53,81861.89,901624,45081.2,856542.8
FIN,INC,Ba1,2017,USA,DE,1951299.61,3902599.22,5853898.82,5721757.56,5721757.56,132141.26,26428.25,58538.99,164252,8212.6,156039.4
FIN,INC,Ba1,2017,USA,DE,1673872.83,3347745.67,5021618.5,3993516.23,3993516.23,1028102.27,205620.45,50216.19,872698,43634.9,829063.1
FIN,INC,Ba1,2017,USA,DE,3495790.45,6991580.91,10487371.36,9911241,9911241,576130.36,115226.07,104873.71,565778,28288.9,537489.1
SOF,INC,C,2017,USA,DE,2589442.47,5178884.93,7768327.4,6809891.49,6809891.49,958435.91,191687.18,77683.27,844432,42221.6,802210.4
SOF,INC,C,2017,USA,DE,2165251.22,4330502.44,6495753.65,5803545.57,5803545.57,692208.08,138441.62,64957.54,618724,30936.2,587787.8
SOF,INC,C,2017,USA,DE,1318359.99,2636719.97,3955079.96,3253899.71,3253899.71,701180.25,140236.05,39550.8,600495,30024.75,570470.25
SOF,INC,A1,2017,USA,DE,2718132.49,5436264.99,8154397.48,7012633.7,7012633.7,1141763.78,228352.76,81543.97,994955,49747.75,945207.25
SOF,INC,A1,2017,USA,DE,1739872.28,3479744.55,5219616.83,4556250.79,4556250.79,663366.04,132673.21,52196.17,582889,29144.45,553744.55
SOF,INC,A1,2017,USA,DE,2231524.6,4463049.2,6694573.81,6195288.48,6195288.48,499285.33,99857.07,66945.74,466374,23318.7,443055.3
SOF,INC,A1,2017,USA,DE,2440047.65,4880095.3,7320142.95,6623464.73,6623464.73,696678.21,139335.64,73201.43,630544,31527.2,599016.8
SOF,INC,A1,2017,USA,DE,2446264.49,4892528.97,7338793.46,7235775.87,7235775.87,103017.58,20603.52,73387.93,155802,7790.1,148011.9
FIN,INC,C,2017,USA,DE,2385697.89,4771395.78,7157093.66,6297461.08,6297461.08,859632.58,171926.52,71570.94,759277,37963.85,721313.15
FIN,INC,C,2017,USA,DE,3059098.12,6118196.23,9177294.35,9005451.78,9005451.78,171842.57,34368.51,91772.94,229247,11462.35,217784.65
IND,INC,A1,2017,USA,DE,1466883.59,2933767.17,4400650.76,3247993.89,3247993.89,1152656.87,230531.37,44006.51,966132,48306.6,917825.4
IND,INC,C,2017,USA,DE,665915.87,1331831.73,1997747.6,1176296.94,1176296.94,821450.65,164290.13,19977.48,677138,33856.9,643281.1
SOF,INC,C,2017,USA,DE,2007318.4,4014636.8,6021955.2,5089008.39,5089008.39,932946.81,186589.36,60219.55,806577,40328.85,766248.15
SOF,INC,C,2017,USA,DE,2360894.18,4721788.36,7082682.54,6728187.32,6728187.32,354495.22,70899.04,70826.83,354423,17721.15,336701.85
FIN,INC,A1,2017,USA,DE,1333926.02,2667852.05,4001778.07,3208100.29,3208100.29,793677.77,158735.55,40017.78,674960,33748,641212
FIN,INC,A1,2017,USA,DE,3785704.21,7571408.42,11357112.63,11045170.29,11045170.29,311942.34,62388.47,113571.13,363125,18156.25,344968.75
FIN,INC,A1,2017,USA,DE,3733955.78,7467911.56,11201867.34,10662050.68,10662050.68,539816.66,107963.33,112018.67,543872,27193.6,516678.4
FIN,INC,A1,2017,USA,DE,4572471.92,9144943.84,13717415.76,12892680.95,12892680.95,824734.8,164946.96,137174.16,796962,39848.1,757113.9
IND,INC,A1,2017,USA,DE,2324788.82,4649577.64,6974366.46,5895023.54,5895023.54,1079342.92,215868.58,69743.66,933218,46660.9,886557.1
IND,INC,A1,2017,USA,DE,2238515.76,4477031.51,6715547.27,6160991.61,6160991.61,554555.66,110911.13,67155.47,510800,25540,485260
IND,INC,A1,2017,USA,DE,1342912.07,2685824.14,4028736.22,3838999.17,3838999.17,189737.05,37947.41,40287.36,192077,9603.85,182473.15
SOF,INC,A1,2017,USA,DE,652879.47,1305758.95,1958638.42,1219135.15,1219135.15,739503.27,147900.65,19586.38,611189,30559.45,580629.55
FIN,INC,C,2017,USA,DE,2745856.8,5491713.59,8237570.39,7666238.77,7666238.77,571331.62,114266.32,82375.7,539441,26972.05,512468.95
FIN,INC,C,2017,USA,DE,2974285.46,5948570.93,8922856.39,8658018.35,8658018.35,264838.05,52967.61,89228.56,301099,15054.95,286044.05
IND,INC,C,2017,USA,DE,1577920.13,3155840.25,4733760.38,3791218.63,3791218.63,942541.75,188508.35,47337.6,801371,40068.55,761302.45
IND,INC,C,2017,USA,DE,4096078.47,8192156.95,12288235.42,11596452.12,11596452.12,691783.31,138356.66,122882.35,676309,33815.45,642493.55
IND,INC,Ba1,2017,USA,DE,1492648.45,2985296.89,4477945.34,4207775.91,4207775.91,270169.43,54033.89,44779.45,260915,13045.75,247869.25
IND,INC,Ba1,2017,USA,DE,1968937.12,3937874.25,5906811.37,4906661.51,4906661.51,1000149.86,200029.97,59068.11,859188,42959.4,816228.6
IND,INC,Ba1,2017,USA,DE,1159727.32,2319454.65,3479181.97,2758869.24,2758869.24,720312.73,144062.55,34791.82,611042,30552.1,580489.9
FIN,INC,Ba1,2017,USA,DE,1663080.33,3326160.66,4989240.99,3868169.01,3868169.01,1121071.99,224214.4,49892.41,946750,47337.5,899412.5
FIN,INC,Ba1,2017,USA,DE,3399845.34,6799690.69,10199536.03,10159862.73,10159862.73,39673.3,7934.66,101995.36,133734,6686.7,127047.3
SOF,INC,Ba1,2017,USA,DE,2709846.85,5419693.71,8129540.56,7408011.07,7408011.07,721529.49,144305.9,81295.41,658519,32925.95,625593.05
SOF,INC,A1,2017,USA,DE,670435.8,1340871.59,2011307.39,1062129.98,1062129.98,949177.41,189835.48,20113.07,779455,38972.75,740482.25
SOF,INC,A1,2017,USA,DE,2220775.75,4441551.49,6662327.24,6592047.58,6592047.58,70279.66,14055.93,66623.27,122847,6142.35,116704.65
SOF,INC,A1,2017,USA,DE,3661965.59,7323931.18,10985896.77,10104677.98,10104677.98,881218.79,176243.76,109858.97,814834,40741.7,774092.3
SOF,INC,A1,2017,USA,DE,1858006.65,3716013.31,5574019.96,5305892.71,5305892.71,268127.25,53625.45,55740.2,270242,13512.1,256729.9
SOF,INC,A1,2017,USA,DE,1978451.68,3956903.37,5935355.05,5631675.74,5631675.74,303679.31,60735.86,59353.55,302297,15114.85,287182.15
SOF,INC,Ba1,2017,USA,DE,1474258.65,2948517.29,4422775.94,3709690.64,3709690.64,713085.3,142617.06,44227.76,614696,30734.8,583961.2
SOF,INC,C,2017,USA,DE,3530508.51,7061017.02,10591525.53,10484309.6,10484309.6,107215.93,21443.19,105915.26,191688,9584.4,182103.6
SOF,INC,C,2017,USA,DE,1207571.03,2415142.07,3622713.1,2588867.02,2588867.02,1033846.09,206769.22,36227.13,863304,43165.2,820138.8
SOF,INC,C,2017,USA,DE,1909632.16,3819264.32,5728896.47,4870591.43,4870591.43,858305.04,171661.01,57288.96,743933,37196.65,706736.35
SOF,INC,C,2017,USA,DE,2991385.48,5982770.96,8974156.44,8616687.15,8616687.15,357469.29,71493.86,89741.56,375717,18785.85,356931.15
IND,INC,Ba1,2017,USA,DE,695443.22,1390886.44,2086329.66,1312011.28,1312011.28,774318.38,154863.68,20863.3,640318,32015.9,608302.1
IND,INC,A1,2017,USA,DE,875138.17,1750276.34,2625414.51,2473117.2,2473117.2,152297.32,30459.46,26254.15,148092,7404.6,140687.4
IND,INC,A1,2017,USA,DE,3967284.8,7934569.59,11901854.39,11610517.57,11610517.57,291336.82,58267.36,119018.54,352088,17604.4,334483.6
FIN,INC,Ba1,2017,USA,DE,1592047.83,3184095.66,4776143.48,3898205.28,3898205.28,877938.21,175587.64,47761.43,750112,37505.6,712606.4
FIN,INC,Ba1,2017,USA,DE,1985190.82,3970381.65,5955572.47,5615389.63,5615389.63,340182.84,68036.57,59555.72,331702,16585.1,315116.9
FIN,INC,Ba1,2017,USA,DE,1286476.97,2572953.95,3859430.92,2689977.55,2689977.55,1169453.36,233890.67,38594.31,974157,48707.85,925449.15
IND,INC,C,2017,USA,DE,2883246.07,5766492.13,8649738.2,7960558.67,7960558.67,689179.52,137835.9,86497.38,637841,31892.05,605948.95
IND,INC,C,2017,USA,DE,2293561.59,4587123.19,6880684.78,5854245.84,5854245.84,1026438.94,205287.79,68806.85,889958,44497.9,845460.1
FIN,INC,A1,2017,USA,DE,2621666.22,5243332.45,7864998.67,7696547.41,7696547.41,168451.27,33690.25,78649.99,213411,10670.55,202740.45
FIN,INC,C,2017,USA,DE,2483886.96,4967773.92,7451660.88,6621974.14,6621974.14,829686.74,165937.35,74516.61,738266,36913.3,701352.7
FIN,INC,C,2017,USA,DE,3079098.82,6158197.64,9237296.46,8224448.92,8224448.92,1012847.54,202569.51,92372.96,902651,45132.55,857518.45
SOF,INC,A1,2017,USA,DE,3981476.14,7962952.28,11944428.41,11572935.02,11572935.02,371493.39,74298.68,119444.28,416639,20831.95,395807.05
SOF,INC,A1,2017,USA,DE,2007911.07,4015822.15,6023733.22,5651289.89,5651289.89,372443.33,74488.67,60237.33,358192,17909.6,340282.4
SOF,INC,A1,2017,USA,DE,2955347.31,5910694.62,8866041.93,7944691.21,7944691.21,921350.73,184270.15,88660.42,825741,41287.05,784453.95
SOF,INC,A1,2017,USA,DE,1897321.91,3794643.81,5691965.72,5588361.54,5588361.54,103604.18,20720.84,56919.66,139803,6990.15,132812.85
SOF,INC,A1,2017,USA,DE,2499117.41,4998234.82,7497352.24,6850017.89,6850017.89,647334.35,129466.87,74973.52,592841,29642.05,563198.95
IND,INC,C,2017,USA,DE,3157531.53,6315063.06,9472594.59,8627064.52,8627064.52,845530.07,169106.01,94725.95,771150,38557.5,732592.5
IND,INC,A1,2017,USA,DE,1048324.21,2096648.42,3144972.63,2414349.79,2414349.79,730622.84,146124.57,31449.73,615948,30797.4,585150.6
IND,INC,A1,2017,USA,DE,3422955.5,6845911.01,10268866.51,10236364.85,10236364.85,32501.67,6500.33,102688.67,128690,6434.5,122255.5
IND,INC,A1,2017,USA,DE,2149928.03,4299856.07,6449784.1,5717007.65,5717007.65,732776.45,146555.29,64497.84,650719,32535.95,618183.05
IND,INC,A1,2017,USA,DE,2180086.97,4360173.95,6540260.92,5492312.93,5492312.93,1047947.99,209589.6,65402.61,903761,45188.05,858572.95
FIN,INC,C,2017,USA,DE,2609377.18,5218754.36,7828131.54,6801730.69,6801730.69,1026400.86,205280.17,78281.32,899402,44970.1,854431.9
IND,INC,Ba1,2017,USA,DE,3915130.9,7830261.8,11745392.71,10657971.37,10657971.37,1087421.34,217484.27,117453.93,987391,49369.55,938021.45
IND,INC,Ba1,2017,USA,DE,1791463.26,3582926.51,5374389.77,4426773.39,4426773.39,947616.38,189523.28,53743.9,811837,40591.85,771245.15
IND,INC,Ba1,2017,USA,DE,3611232.26,7222464.53,10833696.79,10110001.75,10110001.75,723695.04,144739.01,108336.97,687293,34364.65,652928.35
IND,INC,Ba1,2017,USA,DE,2486112.74,4972225.48,7458338.23,6992484.95,6992484.95,465853.27,93170.65,74583.38,447266,22363.3,424902.7
SOF,INC,Ba1,2017,USA,DE,1965997.81,3931995.62,5897993.43,5435230.85,5435230.85,462762.58,92552.52,58979.93,429190,21459.5,407730.5
SOF,INC,Ba1,2017,USA,DE,1241676.74,2483353.48,3725030.23,2732834.35,2732834.35,992195.87,198439.17,37250.3,831007,41550.35,789456.65
SOF,INC,Ba1,2017,USA,DE,3506630.97,7013261.94,10519892.91,9407060.32,9407060.32,1112832.59,222566.52,105198.93,995465,49773.25,945691.75
