"Duration_MLA_B1_IncomeStatement","OrganizationID_MLA_B1_IncomeStatement","ParentOrganizationID_MLA_B1_IncomeStatement","IndustryType_MLA_B1_IncomeStatement","OrgType_MLA_B1_IncomeStatement","TaxStatus_MLA_B1_IncomeStatement","ReportingType_MLA_B1_IncomeStatement","CurrentRating_MLA_B1_IncomeStatement","ReportingYear_MLA_B1_IncomeStatement","ReportingRegion_MLA_B1_IncomeStatement","ReportingLocalRegion_MLA_B1_IncomeStatement","ProfitNonFinancial_Income","InterestReceivable_Income","InterestPayable_Income","NetInterestReceivable_Income","FeesReceivable_Income","ProfitsOnDealing_Income","Other_Income","Total_Income","StaffCosts_Expenditure","FeesPayable_Expenditure","Occupancy_Expenditure","OtherOperatingExpenses_Expenditure","OtherExpenses_Expenditure","Total_Expenditure","OperatingProfit_MLA_B1_IncomeStatement","Provisions_MLA_B1_IncomeStatement","Taxation_MLA_B1_IncomeStatement","MinorityInterests_MLA_B1_IncomeStatement","Profit_MLA_B1_IncomeStatement","Dividends_MLA_B1_IncomeStatement","RetainedProfit_MLA_B1_IncomeStatement"
"12.00","US4545Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","975581.99","0","0","0","0","1951163.99","0","2926745.98","0","0","0","0","2747072.8","2747072.8","179673.18","0","35934.64","29267.46","173006","8650.3","164355.7"
"12.00","US4546Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","520588.34","0","0","0","0","1041176.68","0","1561765.01","0","0","0","0","370197.08","370197.08","1191567.94","0","238313.59","15617.65","968872","48443.6","920428.4"
"12.00","US4547Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","2131012.31","0","0","0","0","4262024.61","0","6393036.92","0","0","0","0","6086314.88","6086314.88","306722.04","0","61344.41","63930.37","309308","15465.4","293842.6"
"12.00","US4548Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","822618.73","0","0","0","0","1645237.46","0","2467856.19","0","0","0","0","2113515.64","2113515.64","354340.55","0","70868.11","24678.56","308151","15407.55","292743.45"
"12.00","US4557Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","1291560.06","0","0","0","0","2583120.12","0","3874680.18","0","0","0","0","3124091.18","3124091.18","750589","0","150117.8","38746.8","639218","31960.9","607257.1"
"12.00","US4558Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","2030749.12","0","0","0","0","4061498.24","0","6092247.36","0","0","0","0","5847201.7","5847201.7","245045.66","0","49009.13","60922.47","256959","12847.95","244111.05"
"12.00","US4559Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","832354.17","0","0","0","0","1664708.35","0","2497062.52","0","0","0","0","2016387.05","2016387.05","480675.47","0","96135.09","24970.63","409511","20475.55","389035.45"
"12.00","US4560Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","1755908.13","0","0","0","0","3511816.25","0","5267724.38","0","0","0","0","4579612.19","4579612.19","688112.2","0","137622.44","52677.24","603167","30158.35","573008.65"
"12.00","US4772Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","3216888.92","0","0","0","0","6433777.85","0","9650666.77","0","0","0","0","8534378.85","8534378.85","1116287.92","0","223257.58","96506.67","989537","49476.85","940060.15"
"12.00","US4790Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2372110.03","0","0","0","0","4744220.05","0","7116330.08","0","0","0","0","6411061.7","6411061.7","705268.37","0","141053.67","71163.3","635378","31768.9","603609.1"
"12.00","US4791Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","1479229.64","0","0","0","0","2958459.29","0","4437688.93","0","0","0","0","3470768.79","3470768.79","966920.14","0","193384.03","44376.89","817913","40895.65","777017.35"
"12.00","US4792Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","3688279.44","0","0","0","0","7376558.89","0","11064838.33","0","0","0","0","10378883.81","10378883.81","685954.52","0","137190.9","110648.38","659412","32970.6","626441.4"
"12.00","US4793Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","946316.89","0","0","0","0","1892633.79","0","2838950.68","0","0","0","0","2380337.57","2380337.57","458613.12","0","91722.62","28389.51","395280","19764","375516"
"12.00","US4877Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","1323292.81","0","0","0","0","2646585.61","0","3969878.42","0","0","0","0","3383936.9","3383936.9","585941.52","0","117188.3","39698.78","508452","25422.6","483029.4"
"12.00","US4897Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","1715829.69","0","0","0","0","3431659.39","0","5147489.08","0","0","0","0","4260041.44","4260041.44","887447.64","0","177489.53","51474.89","761433","38071.65","723361.35"
"12.00","US4898Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","2372407.09","0","0","0","0","4744814.17","0","7117221.26","0","0","0","0","6206399.02","6206399.02","910822.23","0","182164.45","71172.21","799830","39991.5","759838.5"
"12.00","US4963Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","724378.85","0","0","0","0","1448757.69","0","2173136.54","0","0","0","0","1013908.24","1013908.24","1159228.29","0","231845.66","21731.37","949114","47455.7","901658.3"
"12.00","US4964Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","880990.71","0","0","0","0","1761981.41","0","2642972.12","0","0","0","0","1940595.52","1940595.52","702376.6","0","140475.32","26429.72","588331","29416.55","558914.45"
"12.00","US4991Z","","IND","INC","C","BOARD","Ba1","2017.00","USA","DE","1253094.29","0","0","0","0","2506188.57","0","3759282.86","0","0","0","0","3675410.15","3675410.15","83872.71","0","16774.54","37592.83","104691","5234.55","99456.45"
"12.00","US5057Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","1981821.14","0","0","0","0","3963642.28","0","5945463.42","0","0","0","0","4775114.21","4775114.21","1170349.21","0","234069.84","59454.63","995734","49786.7","945947.3"
"12.00","US5058Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","766116.56","0","0","0","0","1532233.12","0","2298349.68","0","0","0","0","1804991.55","1804991.55","493358.13","0","98671.63","22983.5","417670","20883.5","396786.5"
"12.00","US5059Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","2501098.88","0","0","0","0","5002197.76","0","7503296.63","0","0","0","0","6494565.34","6494565.34","1008731.29","0","201746.26","75032.97","882018","44100.9","837917.1"
"12.00","US5109Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","1327349.62","0","0","0","0","2654699.24","0","3982048.86","0","0","0","0","3904866.97","3904866.97","77181.89","0","15436.38","39820.49","101566","5078.3","96487.7"
"12.00","US5110Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","3072970.88","0","0","0","0","6145941.75","0","9218912.63","0","0","0","0","8086799.04","8086799.04","1132113.59","0","226422.72","92189.13","997880","49894","947986"
"12.00","US5111Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","3612942.81","0","0","0","0","7225885.61","0","10838828.42","0","0","0","0","10001620.03","10001620.03","837208.39","0","167441.68","108388.28","778155","38907.75","739247.25"
"12.00","US5201Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","878802.69","0","0","0","0","1757605.39","0","2636408.08","0","0","0","0","2521354.43","2521354.43","115053.65","0","23010.73","26364.08","118407","5920.35","112486.65"
"12.00","US5202Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","1448014.16","0","0","0","0","2896028.33","0","4344042.49","0","0","0","0","3811254.27","3811254.27","532788.22","0","106557.64","43440.42","469671","23483.55","446187.45"
"12.00","US5208Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","352947.37","0","0","0","0","705894.74","0","1058842.11","0","0","0","0","406407.64","406407.64","652434.47","0","130486.89","10588.42","532536","26626.8","505909.2"
"12.00","US5209Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","811475.89","0","0","0","0","1622951.79","0","2434427.68","0","0","0","0","2299836.77","2299836.77","134590.9","0","26918.18","24344.28","132017","6600.85","125416.15"
"12.00","US5210Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","688833.3","0","0","0","0","1377666.59","0","2066499.89","0","0","0","0","1540056.14","1540056.14","526443.75","0","105288.75","20665","441820","22091","419729"
"12.00","US5295Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2654064.38","0","0","0","0","5308128.76","0","7962193.14","0","0","0","0","7256478.06","7256478.06","705715.09","0","141143.02","79621.93","644194","32209.7","611984.3"
"12.00","US5296Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2809327.74","0","0","0","0","5618655.48","0","8427983.21","0","0","0","0","7993411.75","7993411.75","434571.46","0","86914.29","84279.83","431937","21596.85","410340.15"
"12.00","US5347Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","2426763.05","0","0","0","0","4853526.1","0","7280289.14","0","0","0","0","6903080.26","6903080.26","377208.89","0","75441.78","72802.89","374570","18728.5","355841.5"
"12.00","US5348Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","1843490.5","0","0","0","0","3686981.01","0","5530471.51","0","0","0","0","5156089.9","5156089.9","374381.61","0","74876.32","55304.72","354810","17740.5","337069.5"
"12.00","US5349Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","1818945.81","0","0","0","0","3637891.63","0","5456837.44","0","0","0","0","4934975.41","4934975.41","521862.03","0","104372.41","54568.37","472058","23602.9","448455.1"
"12.00","US5350Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","677059.47","0","0","0","0","1354118.94","0","2031178.41","0","0","0","0","1019116.89","1019116.89","1012061.52","0","202412.3","20311.78","829961","41498.05","788462.95"
"12.00","US5453Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","335837.63","0","0","0","0","671675.25","0","1007512.88","0","0","0","0","167716.79","167716.79","839796.09","0","167959.22","10075.13","681912","34095.6","647816.4"
"12.00","US5493Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","2520989.5","0","0","0","0","5041979.01","0","7562968.51","0","0","0","0","6780638.12","6780638.12","782330.39","0","156466.08","75629.69","701494","35074.7","666419.3"
"12.00","US5514Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","1342412.75","0","0","0","0","2684825.49","0","4027238.24","0","0","0","0","2958318.72","2958318.72","1068919.52","0","213783.9","40272.38","895408","44770.4","850637.6"
"12.00","US5622Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","1247510.24","0","0","0","0","2495020.47","0","3742530.71","0","0","0","0","3156344.85","3156344.85","586185.87","0","117237.17","37425.31","506374","25318.7","481055.3"
"12.00","US5643Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","2587345.37","0","0","0","0","5174690.73","0","7762036.1","0","0","0","0","7248577.8","7248577.8","513458.3","0","102691.66","77620.36","488387","24419.35","463967.65"
"12.00","US5751Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","2682945.26","0","0","0","0","5365890.53","0","8048835.79","0","0","0","0","6953387.49","6953387.49","1095448.3","0","219089.66","80488.36","956847","47842.35","909004.65"
"12.00","US5752Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","2152434.59","0","0","0","0","4304869.17","0","6457303.76","0","0","0","0","5418243.81","5418243.81","1039059.95","0","207811.99","64573.04","895821","44791.05","851029.95"
"12.00","US5813Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","754767.39","0","0","0","0","1509534.77","0","2264302.16","0","0","0","0","1451612.19","1451612.19","812689.97","0","162537.99","22643.02","672795","33639.75","639155.25"
"12.00","US5848Z","","IND","INC","C","BOARD","Ba1","2017.00","USA","DE","2664881.9","0","0","0","0","5329763.81","0","7994645.71","0","0","0","0","7627528.78","7627528.78","367116.93","0","73423.39","79946.46","373640","18682","354958"
"12.00","US5849Z","","IND","INC","C","BOARD","Ba1","2017.00","USA","DE","3119365.82","0","0","0","0","6238731.63","0","9358097.45","0","0","0","0","9143351.17","9143351.17","214746.28","0","42949.26","93580.97","265378","13268.9","252109.1"
"12.00","US5933Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","2107860.9","0","0","0","0","4215721.79","0","6323582.69","0","0","0","0","5360486.22","5360486.22","963096.47","0","192619.29","63235.83","833713","41685.65","792027.35"
"12.00","US5934Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","3317415.18","0","0","0","0","6634830.35","0","9952245.53","0","0","0","0","9884369.84","9884369.84","67875.68","0","13575.14","99522.46","153823","7691.15","146131.85"
"12.00","US5935Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","1189932.84","0","0","0","0","2379865.67","0","3569798.51","0","0","0","0","2479197.24","2479197.24","1090601.27","0","218120.25","35697.99","908179","45408.95","862770.05"
"12.00","US5962Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","1398818.93","0","0","0","0","2797637.86","0","4196456.79","0","0","0","0","4111121.25","4111121.25","85335.54","0","17067.11","41964.57","110233","5511.65","104721.35"
"12.00","US5963Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","1406359.09","0","0","0","0","2812718.17","0","4219077.26","0","0","0","0","3951964.48","3951964.48","267112.78","0","53422.56","42190.77","255881","12794.05","243086.95"
"12.00","US5979Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","1713225.74","0","0","0","0","3426451.47","0","5139677.21","0","0","0","0","4923094.43","4923094.43","216582.78","0","43316.56","51396.77","224663","11233.15","213429.85"
"12.00","US6034Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","1582743.44","0","0","0","0","3165486.89","0","4748230.33","0","0","0","0","3872853.21","3872853.21","875377.12","0","175075.42","47482.3","747784","37389.2","710394.8"
"12.00","US6035Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","1780619.25","0","0","0","0","3561238.5","0","5341857.74","0","0","0","0","5030792.21","5030792.21","311065.53","0","62213.11","53418.58","302271","15113.55","287157.45"
"12.00","US6037Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2977954.73","0","0","0","0","5955909.47","0","8933864.2","0","0","0","0","8795251.26","8795251.26","138612.95","0","27722.59","89338.64","200229","10011.45","190217.55"
"12.00","US6038Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2015625.59","0","0","0","0","4031251.18","0","6046876.76","0","0","0","0","5773576.47","5773576.47","273300.29","0","54660.06","60468.77","279109","13955.45","265153.55"
"12.00","US6039Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2607988.71","0","0","0","0","5215977.42","0","7823966.13","0","0","0","0","7383930.71","7383930.71","440035.42","0","88007.08","78239.66","430268","21513.4","408754.6"
"12.00","US6040Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2254586.33","0","0","0","0","4509172.67","0","6763759","0","0","0","0","6561585.99","6561585.99","202173.01","0","40434.6","67637.59","229376","11468.8","217907.2"
"12.00","US6041Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2728729.72","0","0","0","0","5457459.45","0","8186189.17","0","0","0","0","7161486.54","7161486.54","1024702.64","0","204940.53","81861.89","901624","45081.2","856542.8"
"12.00","US6122Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","1951299.61","0","0","0","0","3902599.22","0","5853898.82","0","0","0","0","5721757.56","5721757.56","132141.26","0","26428.25","58538.99","164252","8212.6","156039.4"
"12.00","US6123Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","1673872.83","0","0","0","0","3347745.67","0","5021618.5","0","0","0","0","3993516.23","3993516.23","1028102.27","0","205620.45","50216.19","872698","43634.9","829063.1"
"12.00","US6124Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","3495790.45","0","0","0","0","6991580.91","0","10487371.36","0","0","0","0","9911241","9911241","576130.36","0","115226.07","104873.71","565778","28288.9","537489.1"
"12.00","US6132Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","2589442.47","0","0","0","0","5178884.93","0","7768327.4","0","0","0","0","6809891.49","6809891.49","958435.91","0","191687.18","77683.27","844432","42221.6","802210.4"
"12.00","US6133Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","2165251.22","0","0","0","0","4330502.44","0","6495753.65","0","0","0","0","5803545.57","5803545.57","692208.08","0","138441.62","64957.54","618724","30936.2","587787.8"
"12.00","US6134Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","1318359.99","0","0","0","0","2636719.97","0","3955079.96","0","0","0","0","3253899.71","3253899.71","701180.25","0","140236.05","39550.8","600495","30024.75","570470.25"
"12.00","US6160Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","2718132.49","0","0","0","0","5436264.99","0","8154397.48","0","0","0","0","7012633.7","7012633.7","1141763.78","0","228352.76","81543.97","994955","49747.75","945207.25"
"12.00","US6161Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","1739872.28","0","0","0","0","3479744.55","0","5219616.83","0","0","0","0","4556250.79","4556250.79","663366.04","0","132673.21","52196.17","582889","29144.45","553744.55"
