IndustryType_MLA_B1_IncomeStatement,OrgType_MLA_B1_IncomeStatement,CurrentRating_MLA_B1_IncomeStatement,ReportingYear_MLA_B1_IncomeStatement,ReportingRegion_MLA_B1_IncomeStatement,ReportingLocalRegion_MLA_B1_IncomeStatement,ProfitNonFinancial_Income,ProfitsOnDealing_Income,Total_Income,OtherExpenses_Expenditure,Total_Expenditure,OperatingProfit_MLA_B1_IncomeStatement,Taxation_MLA_B1_IncomeStatement,MinorityInterests_MLA_B1_IncomeStatement,Profit_MLA_B1_IncomeStatement,Dividends_MLA_B1_IncomeStatement,RetainedProfit_MLA_B1_IncomeStatement
FIN,INC,A1,2017,USA,DE,106051,1120200,6182160,1378249,13315425,383075,79310.4,9825.17,554563,29736.03,105294
FIN,INC,A1,2018,USA,DE,953889,2173153,9592326,2872735,12772212,206466,125865.37,14991.57,938831,10464.46,575352
FIN,LLC,C,2017,USA,DE,3134530,1562698,6202605,5982528,4555304,221709,43504.91,12499.52,767300,26497.93,521114
FIN,INC,C,2018,USA,DE,361455,1102885,3142097,2079409,7463201,47932,192055.2,4727.45,999058,28691.88,471463
FIN,INC,Ba1,2017,USA,DE,100322,1445648,11970122,2627114,15025285,379378,124174.15,45439.5,915383,25225.89,800635
IND,LLC,A1,2017,USA,DE,2529528,2150554,1557861,7757785,5436759,347870,245122.78,6582.63,908850,25549.24,944076
SOF,INC,A1,2017,USA,DE,160230,4660022,7138226,6989656,11893110,30481,105384.73,24773.62,820077,5117.54,927807
SOF,LLC,A1,2018,USA,DE,439351,414135,6554800,1236171,11368065,606226,19396.33,25624.84,667811,6451.05,672287
SOF,LLC,C,2018,USA,DE,1326973,1857595,11972799,5351796,6601146,31587,42358.03,50770.69,501642,6113.03,584955
IND,LLC,A1,2019,USA,DE,1324577,9542713,4004649,9079985,5132153,1202397,231131.42,34785.43,909953,18803.38,203930
SOF,INC,A1,2018,USA,DE,245397,1590599,1537743,1035264,10937443,113695,198633.8,25977,742494,38206.16,474380
FIN,INC,A1,2017,USA,DE,4540343,1239126,1178092,4901323,5640235,1204519,194324.65,28899.05,838918,10175.35,835969
SOF,LLC,C,2019,USA,DE,860315,2925800,6393622,9674599,9013616,480799,16305.45,20623.83,995428,5146.61,609367
SOF,INC,C,2017,USA,DE,1078546,5265253,6635121,7518208,15696764,530638,180877.46,9422.38,822227,6131.73,680175
IND,INC,C,2020,USA,DE,1288154,4086845,3287556,2188060,10074815,168541,151641.97,17799.06,337692,36675.77,946731
IND,INC,C,2020,USA,DE,2481929,3602367,4545468,13062826,10141806,131379,171407.04,52674.69,478472,7420.12,695406
SOF,INC,C,2017,USA,DE,1372004,1692779,8792590,1975175,10789334,415602,208401.09,3730.75,412591,10478.63,869306
IND,LLC,A1,2018,USA,DE,2222081,3323169,5261733,863454,3316911,74741,207391.51,58090.8,879633,31649.51,782018
SOF,INC,Ba1,2018,USA,DE,1040359,3059636,5851167,1106458,4520943,114399,83583.92,6905.85,993001,11738.31,626071
SOF,LLC,A1,2020,USA,DE,4276597,2330235,600448,8246115,16170195,1158981,243894.64,6590.4,539741,47785.75,925287
IND,INC,A1,2018,USA,DE,446707,1111822,10531045,10012143,14025562,996109,201066.45,96041.54,990839,18650.92,372369
FIN,LLC,A1,2017,USA,DE,1785569,528929,7239796,1287966,6749494,670654,232658.78,7191.3,415033,27616.98,753837
IND,LLC,A1,2017,USA,DE,337555,4512661,5872792,8039631,2995953,314397,205400.46,25806.92,998812,22374.88,435162
FIN,INC,C,2019,USA,DE,554700,1952694,6733002,11701914,9240795,1028344,236615.4,12757.59,913653,5737.51,193773
IND,INC,Ba1,2017,USA,DE,3337110,1689311,8315108,568960,11484631,635620,75244.12,36185.62,987232,5099.9,146624
IND,LLC,C,2018,USA,DE,211814,323281,7885167,66936,6721555,655053,191181.96,36590.86,409869,36418.61,871867
FIN,INC,Ba1,2018,USA,DE,115486,309212,6820190,3945781,10161801,359184,30625.31,21754.43,778894,13542.53,924561
FIN,LLC,Ba1,2017,USA,DE,2272337,2363282,6094525,1856368,6926477,1066578,150398.22,40450.04,318762,12240.2,459172
IND,LLC,C,2017,USA,DE,2666687,851459,16652260,2871725,13459965,59713,128752.66,64067.1,980786,6794.93,100699
SOF,INC,A1,2017,USA,DE,102971,1066490,5466476,436607,10641527,260731,235626.66,109871.04,997683,14173.77,452301
FIN,LLC,A1,2017,USA,DE,2355635,4356756,4836324,4493685,5271556,28521,115116.78,4778.31,971917,8743.96,591684
SOF,INC,A1,2017,USA,DE,633312,440675,3644042,3977804,8043318,694601,88764.07,10362.79,937522,5750.71,850085
IND,INC,Ba1,2017,USA,DE,226089,944878,928006,35070,10546822,1040968,165840.12,25100.97,235881,24692.68,781329
FIN,INC,Ba1,2019,USA,DE,516813,4009423,1858666,6388316,5327277,478163,39022.84,7815.3,985639,41284.58,110400
SOF,LLC,Ba1,2018,USA,DE,899807,4047189,4582397,313235,6842524,786898,6163.73,40434.01,770045,9916.48,797651
IND,LLC,C,2017,USA,DE,487980,2797331,8770304,4069388,2196565,284926,103663.86,4552.1,933952,6681.25,450642
FIN,INC,A1,2020,USA,DE,650634,1109903,7407688,19197,7005051,244442,25791.84,161360.06,964996,10227.62,912057
IND,INC,A1,2018,USA,DE,2722285,1151729,6783557,447050,7285938,1013925,207115.69,43985.1,983826,38095.59,777923
IND,LLC,A1,2019,USA,DE,629587,436550,2603552,8516013,4725812,211281,211273.05,61690.4,845883,5498.75,701351
IND,INC,Ba1,2020,USA,DE,606377,1844778,5530549,11362522,9219137,1165219,105834.78,109355.51,181881,9281.16,883068
IND,LLC,Ba1,2020,USA,DE,871586,4566792,3730460,1738186,9807658,210374,237110.67,83875.87,651435,26945.41,864363
FIN,LLC,Ba1,2017,USA,DE,3338056,1868004,4226517,296454,506382,334593,210723.26,32154.64,925546,5308.83,577523
SOF,LLC,C,2017,USA,DE,356090,1133908,10734976,307142,9984120,992565,63448.97,133394.69,856518,6474.38,295576
SOF,LLC,Ba1,2017,USA,DE,4320386,7715003,7059832,6697724,4304849,500070,64707.05,24325.45,985873,19292.32,240046
SOF,INC,C,2018,USA,DE,882933,7232504,349627,5572625,10962090,787351,235624.73,60106.67,997679,44688.81,598022
IND,LLC,A1,2020,USA,DE,154472,638572,760420,2241030,9851165,27706,19432.57,9454.45,860642,25572.64,805927
SOF,LLC,A1,2018,USA,DE,973593,5178593,9849265,3666977,1899688,816858,193640.97,47233.91,745287,12364.63,948227
IND,LLC,C,2018,USA,DE,3565129,2312868,3456893,6017570,9494934,993628,148011.59,89244.35,861562,36199.22,932424
IND,INC,Ba1,2018,USA,DE,174446,3229582,1345239,4004913,880990,266069,176306.47,107827.43,950354,15888.55,887765
SOF,INC,Ba1,2018,USA,DE,429041,5727554,9646463,2123967,8960603,253136,140694.89,54731,712601,5376.69,948750
SOF,INC,A1,2020,USA,DE,205844,3066334,5130387,2471767,8461344,782538,160176.13,123509.93,599473,9351.6,298038
SOF,LLC,C,2018,USA,DE,198945,1755419,6032609,8092077,7116368,84377,159191.43,18661.03,131557,6056.42,290418
SOF,INC,C,2018,USA,DE,254530,2442860,3283796,5657208,4295596,1043356,98850.09,34866.64,901998,11897.55,913103
IND,LLC,C,2020,USA,DE,4428130,1407934,5274357,1627469,5981572,22909,113626.52,41114.6,433965,5501.96,767919
IND,LLC,A1,2017,USA,DE,2499122,5414412,802218,2975066,5745533,385009,171176.09,17914.82,984377,42163.74,105094
IND,LLC,C,2017,USA,DE,1108395,2027877,16456766,5668040,79377,46958,239314.33,30775.04,842669,5181.88,656692
FIN,INC,C,2020,USA,DE,272105,586106,5908597,3967690,6336171,477821,186412.31,64763.16,661212,5308.59,829902
SOF,LLC,C,2020,USA,DE,2502732,4608437,5994781,595247,7734313,655028,161124.68,68460.58,260221,23091.51,404304
SOF,INC,C,2017,USA,DE,2976874,2384432,3936852,2765517,5225806,45489,18837.76,6080.05,985804,45821.16,902352
IND,LLC,Ba1,2018,USA,DE,105955,1907314,8160428,228025,9816314,1021374,226189.17,47394.21,611812,5474.23,884063
FIN,LLC,Ba1,2017,USA,DE,394336,4395431,4484864,406182,12048390,95664,213235.2,32284.37,859955,5105.94,574925
FIN,LLC,Ba1,2017,USA,DE,108548,205593,6235510,4543246,10897456,860887,49903.38,74645.16,578926,5101.26,790978
FIN,INC,A1,2019,USA,DE,508744,4930596,7725365,4925375,295323,79996,60248.27,50279.7,213848,9404.45,720795
IND,INC,C,2017,USA,DE,1616879,1116759,6519388,4866760,5941391,579402,36586.4,11441.63,782064,5632.42,921716
IND,INC,A1,2018,USA,DE,384495,4024575,8294229,19884,2590810,23930,244813.56,21971.16,733806,5092.08,817540
SOF,LLC,A1,2017,USA,DE,893857,315100,7088004,1585739,9345799,527049,64300.3,3347.76,563509,27911.7,282879
SOF,LLC,C,2017,USA,DE,132135,1011804,3963226,4365981,14847538,361052,204473.1,70301.65,847005,16819.18,346249
SOF,INC,A1,2017,USA,DE,284716,1049222,1643708,890481,3383652,450932,146979.87,21651.85,962682,5130.84,289043
IND,INC,Ba1,2020,USA,DE,730413,2442520,2982275,1861847,15977386,1128425,113495.19,15678.47,585377,5378.39,870623
IND,INC,C,2017,USA,DE,1131074,993353,8257613,9001703,5043202,927696,152670.56,16662.12,783018,5573.3,415261
IND,LLC,A1,2017,USA,DE,1196493,666317,14688011,16303274,5493188,381065,100240.6,50274.26,976103,11780.95,742327
FIN,LLC,Ba1,2018,USA,DE,717786,894511,8041549,6595371,11904455,321485,111498.98,27468.63,945406,46719.99,362872
SOF,INC,C,2018,USA,DE,2296378,2090202,1995764,5144703,9273775,1070962,212513.31,39160.01,997474,23845.47,553136
FIN,LLC,C,2017,USA,DE,2674676,2979085,6038400,1670997,8284404,305525,231438.33,66394.62,719091,23296.11,915450
FIN,INC,C,2020,USA,DE,1265989,988970,4580651,2035907,8950902,444497,96782.02,23680.98,741720,5194.61,164156
SOF,LLC,Ba1,2018,USA,DE,407650,1109213,2361628,998090,14010163,100540,76274.5,64504.17,764061,10260.64,179133
IND,LLC,C,2017,USA,DE,1200697,4294673,2676156,8898095,9996783,1159296,239954.7,23251.3,258739,23792.17,948759
SOF,INC,A1,2017,USA,DE,639418,667715,8307373,2254536,10397683,26647,83306.58,42105.58,644546,17822.79,926594
SOF,INC,Ba1,2017,USA,DE,652596,812707,10283359,3904893,9575177,410036,73282.65,37014.69,877138,19199.38,262677
IND,INC,Ba1,2020,USA,DE,258173,2513465,2827296,5177296,6758600,41805,68149.11,64809.68,853379,42587.8,130716
IND,INC,C,2017,USA,DE,1391568,619704,6774166,4449235,4882763,866660,218239.23,19769.88,524376,6860.06,423118
IND,LLC,Ba1,2017,USA,DE,242408,2330651,5339528,745482,2013836,569780,238574.38,19216.68,992271,10688.04,795883
SOF,INC,C,2017,USA,DE,2875881,679704,327253,4847826,4242392,1121309,127588.64,35028.43,923586,18055.82,452148
IND,LLC,A1,2017,USA,DE,3162482,401224,8512852,14288372,9508979,382705,13651.34,12545.7,118146,37464.95,567602
IND,LLC,A1,2017,USA,DE,810683,2258617,807736,1111688,6341847,330125,217338.57,68575.73,890014,5101.02,884666
IND,INC,Ba1,2017,USA,DE,3580501,2263171,8732971,5231222,10100227,203879,168596.7,68914.77,921462,6128.75,428260
FIN,INC,A1,2017,USA,DE,3148225,5896052,1508409,1666985,9736224,191257,244903.83,5662.88,977693,43335.66,486911
IND,INC,Ba1,2017,USA,DE,1340433,1855510,5605484,7101969,10158783,63941,98730.81,8161.03,767551,16829.94,176458
FIN,INC,A1,2017,USA,DE,400873,2880118,970434,511083,3109898,345687,61406.39,88363.11,833024,5527.23,442798
FIN,INC,Ba1,2017,USA,DE,308906,8433109,1726041,11061378,8865568,347050,213527.32,157661.46,425060,5784.14,767911
IND,INC,Ba1,2019,USA,DE,732521,4914591,3594780,87400,11413450,286925,231696.42,58509.27,998078,7148.17,573867
FIN,LLC,C,2017,USA,DE,807403,6825188,1717840,185934,8109498,556260,133444.26,55278.1,918391,21890.87,876371
FIN,INC,A1,2020,USA,DE,99188,4922481,418743,7036886,7542916,486915,183133.85,12325.05,934087,49625.88,113666
IND,INC,C,2017,USA,DE,2026159,5005878,8210541,1348779,8522333,186999,212861.39,111239.1,147084,7321.14,883905
SOF,LLC,Ba1,2019,USA,DE,3021621,1569506,1304653,2893829,7040778,557449,179811.61,5156.75,902595,7977.82,888701
SOF,INC,A1,2018,USA,DE,1094309,1845311,2157670,10479378,12801337,1032771,15874.67,49989.08,309614,6328.52,948691
SOF,INC,C,2020,USA,DE,124780,2038142,3074137,4589632,10035736,480404,72561.29,13499.21,512189,43217.51,671884
FIN,INC,Ba1,2018,USA,DE,1052534,3355829,10870482,4015955,13833328,686039,232245.42,11486.42,783702,30269.83,584937
FIN,INC,A1,2018,USA,DE,877770,6505739,3531311,8749692,5415266,317328,112854.31,43933.58,859872,37283.53,276017
SOF,LLC,Ba1,2019,USA,DE,189476,1478602,7152179,909956,6277484,22534,195166.28,91914.28,997602,13027.36,920432
IND,LLC,A1,2017,USA,DE,365892,1875699,5140717,2256370,13476668,472432,229782.4,54627.03,647781,8315.87,645160
IND,INC,Ba1,2017,USA,DE,183136,2553551,6348304,1980679,6037997,284965,170006.06,41113.25,759395,5314.7,907034
IND,INC,A1,2018,USA,DE,125546,1753264,5789386,1821228,5288276,79314,235883.99,126029.55,995937,28267.86,660509
SOF,LLC,C,2019,USA,DE,411756,2392717,16123686,10665808,15832611,144648,43818.87,4948.83,650746,6144.72,511920
SOF,LLC,A1,2017,USA,DE,1001925,3409379,14103224,2357703,10775363,309649,132565.98,84684.24,112104,45504.26,831072
IND,LLC,C,2019,USA,DE,3042342,4918104,13069646,13936435,663155,380684,62954.93,161003.93,984018,5471.49,199972
IND,INC,Ba1,2017,USA,DE,697971,1170133,5700248,40048,371305,88002,16741.74,74336.48,875875,9318.43,726463
SOF,INC,C,2017,USA,DE,841912,281009,12618993,9423242,9224320,883813,223023.49,9480.67,994803,5287.89,102976
SOF,INC,A1,2017,USA,DE,215642,608740,12050277,7689907,9532243,312051,154746.78,40971.66,631860,5300.94,780414
FIN,INC,A1,2020,USA,DE,354267,5003718,9019761,9011705,9330256,154595,224093.44,97157.54,993330,12394.81,538830
FIN,LLC,Ba1,2020,USA,DE,106517,2943604,1381339,2645024,6261185,1225165,69852.07,52970.28,819151,7366.74,546120
SOF,INC,C,2020,USA,DE,701712,278367,8235771,526073,9687061,31723,228853.94,4395.67,928093,5196.96,859020
SOF,INC,Ba1,2017,USA,DE,854191,3771884,921386,8293884,2671199,947401,224838.11,47816.63,993146,48065.35,948276
IND,INC,C,2020,USA,DE,1269922,3734449,4584492,4044308,6668697,1174716,147247.25,39822.74,752755,30438.9,181400
SOF,INC,C,2020,USA,DE,3223543,3917823,4042575,2079123,12917086,82953,60782.38,28747.02,979447,5217.36,211292
IND,LLC,Ba1,2020,USA,DE,125455,531134,12473928,6242305,9642664,38791,133215.44,80696.37,170751,5103.2,643454
SOF,INC,A1,2018,USA,DE,137836,2081548,6343037,13008223,3695505,690523,42215.06,112069.26,854720,30127.12,101796
FIN,LLC,C,2017,USA,DE,2570213,1736220,2581522,4943065,5767559,435677,38772.22,105745.45,687550,29570.4,943027
FIN,INC,C,2018,USA,DE,213427,1148996,3390540,1504325,8700781,124683,107809.26,38242.23,207343,5310.18,787547
SOF,INC,C,2017,USA,DE,172701,5975879,4442141,723112,4472351,35111,59352.87,12069.46,531130,12242.41,894864
IND,INC,C,2017,USA,DE,2218585,2606073,5344598,3175934,9128471,88422,122093.3,25969.37,920734,12365.98,488128
IND,INC,A1,2017,USA,DE,1499831,4087648,6922226,523332,7382597,110139,238524.09,80312.36,251049,6326.45,929730
FIN,LLC,C,2018,USA,DE,1318205,4374844,5342112,5008095,8027964,806404,153993.26,113394.42,852962,5448.93,780994
IND,LLC,A1,2017,USA,DE,4440185,3840690,5749704,3996374,5199192,1044083,241034.41,46585.08,896506,49086.87,283196
SOF,LLC,Ba1,2017,USA,DE,1936569,588570,7391540,4954785,5513383,804951,194551.55,8864.96,997565,15795.92,733485
IND,LLC,A1,2020,USA,DE,2219404,6028032,6662229,9769169,7756633,432258,147603.51,38484.35,438821,44207.17,634551
SOF,LLC,A1,2020,USA,DE,2286722,3651101,6109100,2094805,2667990,589983,179536.01,99184.89,668569,14565.73,945136
SOF,LLC,Ba1,2017,USA,DE,352208,3970188,3592576,6731585,9032588,220480,165461.04,32312.58,998791,6148.01,945656
IND,INC,A1,2019,USA,DE,424678,2983708,2823814,45114,10587675,41498,33749.77,44049.69,577183,23875.77,877581
SOF,INC,A1,2019,USA,DE,863003,5463266,6246875,177913,8934863,515890,204852.76,55308.1,290954,29404.58,500418
SOF,INC,C,2019,USA,DE,459406,3254471,3439686,2545234,16174072,150380,97128.62,23322.44,306591,12512.31,767633
IND,INC,A1,2019,USA,DE,2415013,5972346,2571570,4601581,4008053,546378,141993.42,6064.54,991101,13894.27,114542
FIN,LLC,Ba1,2018,USA,DE,248860,1106408,5283538,7664114,14873988,1005739,116032.05,5916.97,572023,38254.1,375293
FIN,INC,A1,2017,USA,DE,203514,1743932,7483901,5112002,15742792,35616,116314.05,68283.06,911136,5470.09,562011
IND,INC,A1,2018,USA,DE,111010,4256169,636788,4654008,10780469,1052816,212301.32,30049.74,222486,42034.28,947010
FIN,INC,Ba1,2017,USA,DE,97816,258018,5530283,9760172,11569623,527279,161142.01,99043.93,909195,5273.71,291680
SOF,INC,C,2017,USA,DE,3213759,5413151,6417715,3778448,445721,30597,173539.3,32545.12,997937,28844.1,127194
IND,LLC,C,2019,USA,DE,368920,431021,2061808,11686236,4415493,748873,162607.6,20856.1,774384,5722.52,498743
FIN,INC,Ba1,2018,USA,DE,2203284,2114852,9551135,3721664,12661418,100787,153148.13,7488.27,745240,22143.94,287214
IND,LLC,A1,2017,USA,DE,2639396,248876,3577381,649376,5911630,34490,38527.89,13592.67,901811,18615.27,836140
FIN,INC,Ba1,2018,USA,DE,127840,2399720,3757301,2087406,9503222,168659,137289.42,15689.42,942519,31112.62,779769
IND,LLC,C,2020,USA,DE,1147151,1415071,5076605,9839143,2491011,681915,199690.1,51124.16,120012,5204.2,286515
FIN,LLC,C,2018,USA,DE,1479214,4319586,4932886,5520225,6053484,348564,216574.54,52806.49,773850,38584.73,902497
FIN,LLC,Ba1,2020,USA,DE,1107399,1895027,3370981,2152189,6049211,792008,205929.78,110511.59,693857,40184.58,188824
FIN,LLC,C,2017,USA,DE,521671,777170,5964747,3928736,4592576,1025341,133860.32,36220.33,694262,24567.94,569670
SOF,INC,C,2018,USA,DE,150721,1662459,7188574,949206,15671044,333946,12444.95,74745.65,954349,16980.32,888628
FIN,LLC,Ba1,2018,USA,DE,1139277,362995,6860992,10974849,16299625,718212,166869.42,31871.31,983860,39801.57,212950
IND,LLC,Ba1,2019,USA,DE,430889,1835327,7063720,5584143,12378513,425389,60535.04,27480.52,989301,7080.38,892559
IND,LLC,Ba1,2017,USA,DE,3567233,1283603,3248063,15103,11981456,572293,113194.25,13679.07,997026,23761.39,858764
IND,LLC,Ba1,2017,USA,DE,152825,388799,4686198,7783310,4584809,252547,160466.79,105840.39,774214,27039.51,708618
FIN,INC,A1,2017,USA,DE,2499588,3284576,7408859,2156444,12262386,55857,147568.33,45157.54,536600,5269.34,765590
SOF,LLC,Ba1,2020,USA,DE,2197686,1147991,2244743,5124474,10244730,202446,120049.55,53170.57,821962,30675.39,926657
FIN,LLC,C,2019,USA,DE,108598,2064130,5096446,16870,10257436,1173400,191332.55,38403.92,980684,7264.93,208931
SOF,LLC,A1,2017,USA,DE,418652,278050,3579551,35122,15875100,851714,202793.27,13736.89,998799,10196.18,906437
IND,LLC,Ba1,2017,USA,DE,256108,2517719,1291632,11013070,6164713,823679,32467.23,24488.05,310900,9731.19,806091
SOF,INC,A1,2017,USA,DE,926588,1972755,11295789,8704929,7502197,614762,108783.52,60047.13,473526,34641.94,801994
SOF,INC,A1,2018,USA,DE,457190,6171291,2140308,2033484,16249004,482573,164259.31,43144.63,989908,5118.35,930756
SOF,LLC,A1,2017,USA,DE,1213437,305642,14131856,1000698,8068909,20703,45404.42,73929.69,917043,6698.6,153131
IND,LLC,A1,2019,USA,DE,277263,1937464,7396297,2419125,8671528,422983,139629.31,130005.2,982347,5612.02,749136
